content,score,sentiment_polarity,sentiment_subjective,sentiment_rating,indonesian_sentiment,clean_text_final
sering sangat close sendiri padahal cuma cek jadwal,1,0.0,0.0,Negative,0,close cek jadwal
tidak bisa pakai ovo gopay dana lagi,1,0.0,0.0,Negative,0,pakai ovo gopay dana
aplikasi yang awalnya bagus bgttapi setelah cuma bisa payment pakek ewalet tidak jelas jadi parah bgt mending kalau bisa payment ini kagak bisa trus gimana  kacau,1,0.0,0.0,Negative,1,bagus payment pakek ewalet parah mending payment kagak trus gimana kacau
ok,5,0.5,0.5,Positive,0,
pembayaran yang sekarang susah enak yang lama pake gopay atau ovo,3,0.0,0.0,Neutral,0,bayar susah enak pake gopay ovo
terakhir baru sebulan yang lalu pakai mass rapid transit ap masih ada dana gopay dl eh sekarang sudah tidak ada ya sudah uninstal,1,0.0,0.0,Negative,0,bulan pakai mass rapid transit ap dana gopay dl eh uninstal
kok makin ribet pembayaranya biasanya bisa pake e walet sekarang sudah tidak bisa tolong dong masa dikasih pilihan e walet yang jarang orang pake,2,0.0,0.0,Negative,0,ribet pembayaranya pake walet kasih pilih walet jarang orang pake
gila ya bisa bisanya pembayaran via gopay dilangin,1,0.0,0.0,Negative,0,gila bayar via gopay
dah tidak bisa bayar pake gopay,3,0.0,0.0,Neutral,0,dah bayar pake gopay
ok,5,0.5,0.5,Positive,0,
baru daftar,5,0.0,0.0,Positive,0,daftar
bug mulu,1,0.0,0.0,Negative,-1,bug mulu
lumayan,5,0.0,0.0,Positive,0,lumayan
e walet saya masa cuma astra pay dan i saku aja gopay dana dl kok bisa tidak ada sih,3,0.0,0.0,Neutral,0,walet astra pay saku gopay dana dl
tidak jelas  kok akun saya hilang tidak terdaftar ,1,0.0,0.0,Negative,0,akun hilang daftar
god job,5,0.0,0.0,Positive,0,god job
bukanya mempermudah malah mempersulit payment ewalet malah dihapus aneh,1,0.0,0.0,Negative,0,buka mudah sulit payment ewalet hapus aneh
sangat membantu dalam perjalanan,5,0.0,0.0,Positive,0,bantu jalan
sudah daftar dan berhasil tapi aplikasi keluar sendiribagaimana mau pakainya harus di benahi lagi,1,0.0,0.0,Negative,0,daftar hasil pakai benah
bagus,5,0.0,0.0,Positive,1,bagus
aaplikasinya bagus banget,5,0.0,0.0,Positive,1,bagus
god,5,0.0,0.0,Positive,0,god
tidak bisa daftar mentok di otp karna ngak dikirim kirim,1,0.0,0.0,Negative,0,daftar otp karna ngak kirim kirim
kenapa tidak bisa bayar pake gopay dan ovo lagi bukanya dipermudah malah jadi sulit pembayaran tiket nya ya sudah uninstal saja karena jadi tidak kepake lagi aplikasinya,1,0.0,0.0,Negative,0,bayar pake gopay ovo buka mudah sulit bayar tiket uninstal kepake
lebih nyaman ketika bisa bayar pakai gopay atau ovo,3,0.0,0.0,Neutral,0,nyaman bayar pakai gopay ovo
ok,5,0.5,0.5,Positive,0,
aku ingin menjadi warga jakarta kelas dunia,5,0.0,0.0,Positive,0,warga jakarta kelas dunia
metode pembayaran sangat terbatas saya tidak punya blu atau i saku tidak bisa pakai,1,0.0,0.0,Negative,0,metode bayar batas blu saku pakai
aplikasi tidak jelas tidak bisa verifikasi no hp,1,0.0,0.0,Negative,0,verifikasi hp
mantap jos,5,0.0,0.0,Positive,1,mantap jos
payment chanel untuk beli tiket sangat terbatas metode yang tidak semua orang pakai,1,0.0,0.0,Negative,0,payment beli tiket batas metode orang pakai
uninstal apknya krna sekarang lebih ribet metode pembayaran ewalet sprti ovo dan gopay tidak ada,1,0.0,0.0,Negative,0,uninstal apknya krna ribet metode bayar ewalet ovo gopay
per juli makin dipersulit dan waktunya uninstal karena metode gopay dan ovo sudah tidak tersedia,1,0.0,0.0,Negative,-1,juli sulit uninstal metode gopay ovo sedia
terimajasih,5,0.0,0.0,Positive,0,
ok,5,0.5,0.5,Positive,0,
sangat membantu untuk meningkatkan aktivitas saya,5,0.0,0.0,Positive,0,bantu tingkat
kok sekarang sudah tidak bisa bayar pake ovo atau dana ya jadi males pakenya,1,0.0,0.0,Negative,0,bayar pake ovo dana males
repot,1,0.0,0.0,Negative,0,repot
sudah tidak ramah pembiayan terlalu banyak unsur politik dan bisnisnya males,1,0.0,0.0,Negative,0,ramah bisnis males
sangat perlu,5,0.0,0.0,Positive,0,
mantap,5,0.0,0.0,Positive,1,mantap
payah makin lama opsi pembayaran semakin sedikit saya dari awalnya link aja kemudian link saja tidak ada kemudian saya harus pindah ke gopay sekarang gopay juga tidak ada mohon di tingkatkan,1,0.0,0.0,Negative,0,payah opsi bayar link link gopay gopay mohon tingkat
sudah ber kali reset pasword tetep saja dibilang salah pasword heran,1,0.0,0.0,Negative,0,ber kali reset pasword tetep bilang salah pasword heran
dear mrtj ap teamtolong tambahkan fitur history pada fitur cek saldo mass rapid transit multi tripterima kasihsemangat terus team,5,0.0,0.0,Positive,0,ap tambah fitur history fitur cek saldo mass rapid transit multi
bikin ribet saja ngilangin metode pembayaran gopay dl,1,0.0,0.0,Negative,0,bikin ribet metode bayar gopay dl
e walet malah ovogopay dk malah dihapus jadi ribet,1,0.0,0.0,Negative,0,walet hapus ribet
bikin ribet saja dah sudah bagus bisa bayar pakai gopayovodana ini malah dipersulit alternatif pembayaranya dengan menghilangkan ewalet itu,2,0.0,0.0,Negative,0,bikin ribet dah bagus bayar pakai gopayovodana sulit pembayaranya hilang ewalet
god,5,0.0,0.0,Positive,0,god
ok sangat membantu,5,0.5,0.5,Positive,0,bantu
pembayaran nya dikit parah sangat sekarang,1,0.0,0.0,Negative,0,bayar dikit parah
coba dulu,3,0.0,0.0,Neutral,0,coba
bintang dulu yasaya baru download apk ini dan baru mau coba gunakan mrt semoga memuaskan,4,0.0,0.0,Positive,0,bintang download apk coba moga muas
mending dibuat macem kai aces yang bisa bayar mengunakan qris jadi tidak macem dompet digital dipake,1,0.0,0.0,Negative,0,mending macem kai aces bayar mengunakan qris macem digital dipake
untuk sementara ksih bintang dulu jika bgus sangat nanti ksih bintang,4,0.0,0.0,Positive,0,ksih bintang bgus ksih bintang
kesel bngt sudah bagus pembayaran bisa melalui dana tpi malah dihapus yang ada cuma yang banyak orang tidak tau ngeselin bngt,1,0.0,0.0,Negative,1,kesel bngt bagus bayar dana hapus orang ngeselin bngt
uninstal karna nga bisa bayar pake ov gpay lagi,3,0.0,0.0,Neutral,0,uninstal karna nga bayar pake
sudah tidak bisa bayar pake ovo sama gopay lagi,1,0.0,0.0,Negative,0,bayar pake ovo gopay
kemarin msh bisa bayar pake opsi dan dan ovo knp skrng tidak ada opsi pembayaran mengunakan dana dan ovo knp hrs pke astra pay,3,0.0,0.0,Neutral,0,kemarin msh bayar pake opsi ovo knp skrng opsi bayar mengunakan dana ovo knp hrs pke astra pay
jadi tidak berguna semenjak pembayaran sangat terbatas,1,0.0,0.0,Negative,0,guna bayar batas
bagus,5,0.0,0.0,Positive,1,bagus
uda betul pakai ewalet kaya gopay ovo link malah di apusin bisnis sih bisnis tapi bikin susah penguna mass rapid transit,1,0.0,0.0,Negative,0,uda pakai ewalet kaya gopay ovo link bisnis bisnis bikin susah penguna mass rapid transit
mass rapid transit bukanya lebih baik kok malah down grade sih harusnya makin lama customer makin dipermudah dengan acses untuk mengunakan mass rapid transit biar makin banyak yang akan mengunakan transportasi umum ini kok yang tadi nya kita bisa beli tiket dengan ovo dana gopay yang memang sebagian besar masyarakat mengunakanya mulai juli kok malah dihilangkan coba belajar dari comuter malah sekarang bisa mengunakan itu  jujur kecewa sih,1,-0.15555555555555556,0.2888888888888889,Negative,1,mass rapid transit buka customer mudah mengunakan mass rapid transit biar mengunakan transportasi beli tiket ovo dana gopay masyarakat juli hilang coba ajar mengunakan jujur kecewa
mau coba dulu,4,0.0,0.0,Positive,0,coba
kalau bisa gabung aplikasi ke mrl aces donk kebanyakan aplikasi dalam hp,4,0.0,0.0,Positive,0,gabung aces donk banyak hp
god,4,0.0,0.0,Positive,0,god
mantap,5,0.0,0.0,Positive,1,mantap
uninstal ap lah download ap kan agar mudah melakukan pembayaran pake gopay  ovo eh malah di hapus metode pembayaranya bye bye,1,0.0,0.0,Negative,1,uninstal ap download ap mudah bayar pake gopay ovo eh hapus metode pembayaranya bye bye
ok,5,0.5,0.5,Positive,0,
bagus,5,0.0,0.0,Positive,1,bagus
ok,5,0.5,0.5,Positive,0,
pelayanan nya profesional,5,0.0,0.0,Positive,0,layan
sangat membantu,5,0.0,0.0,Positive,0,bantu
pada sat pengriman otp tidak bisa tidak ada sms sama sekali tolong benerin lagi tim develope nya,1,0.0,0.0,Negative,0,sat otp sms benerin tim
tidak ada masalah sebenarnya di aplikasi cuma kebijakan menghilangkan metode pembayaran gopayovodana per juli itu kebijakan manajemen mass rapid transit paling bodoh tidak sekalian balik ke jaman purbakala,1,0.0,0.0,Negative,0,bijak hilang metode bayar gopayovodana juli bijak manajemen mass rapid transit bodoh jaman
kesulitan daftar kode otp tidak terkirim,2,0.0,0.0,Negative,-1,sulit daftar kode otp kirim
mantap,5,0.0,0.0,Positive,1,mantap
oke bos,5,0.0,0.0,Positive,0,bos
nungu otp nya lama banget akhirnya uninstal saja,1,0.0,0.0,Negative,0,nungu otp uninstal
ok,5,0.5,0.5,Positive,0,
ok,5,0.5,0.5,Positive,0,
baru mau nyoba sih bismilahirahmanirahim,5,0.0,0.0,Positive,0,nyoba bismilahirahmanirahim
bagus,5,0.0,0.0,Positive,1,bagus
god,5,0.0,0.0,Positive,0,god
mantaph dan keren,5,0.0,0.0,Positive,1,keren
cepat aplikasinya,5,0.0,0.0,Positive,1,cepat
manfat mass rapid transit,5,0.0,0.0,Positive,0,mass rapid transit
ribet beli tiket pilih st berangkat dan tujuan salah pilihtiket hangus,1,0.0,0.0,Negative,0,ribet beli tiket pilih st berangkat tuju salah
tidak dapet kode otp,1,0.0,0.0,Negative,0,dapet kode otp
naik mass rapid transit supaya tidak macet,5,0.0,0.0,Positive,0,mass rapid transit macet
crot,5,0.0,0.0,Positive,0,
bagus dan memudahkan,5,0.0,0.0,Positive,1,bagus mudah
mass rapid transit jakarta,5,0.0,0.0,Positive,0,mass rapid transit jakarta
mantap sekali,5,0.0,0.0,Positive,1,mantap
bagus kalo lupa bawa kartu emoney nya,5,0.0,0.0,Positive,1,bagus kalo lupa bawa kartu emoney
god,4,0.0,0.0,Positive,0,god
bagus,4,0.0,0.0,Positive,1,bagus
ok,5,0.5,0.5,Positive,0,
jos,5,0.0,0.0,Positive,0,jos
mana ini mau daftar tidak bisa kode otp tidak dapat tidak berguna,1,0.0,0.0,Negative,0,daftar kode otp guna
tidak dapat terima otp untuk registrasi login via gogle juga tidak bisa aplikasinya juga suka freze minimal dikasih loading gitu sama fe bug critical kok bisa naik production ya qa nya kemana product managernya bagaimana,1,-0.05,0.7,Negative,-1,otp registrasi login via gogle suka freze kasih loading gitu bug
keren,5,0.0,0.0,Positive,1,keren
ampe ngising beling kode otp tidak d kirim,1,0.0,0.0,Negative,0,ampe kode otp kirim
ok,4,0.5,0.5,Positive,0,
juos,5,0.0,0.0,Positive,0,
daftar minta kode otp g bisadari pagi ampe sore,1,0.0,0.0,Negative,0,daftar kode otp pagi ampe
sangat bagus untuk publik,5,0.0,0.0,Positive,1,bagus publik
tolong keterangan pengiriman otp disat registrasi diperjelas kalau otp dikirimkan ke whatsap ya ditulis kalau dikirimnya ke whatsap ini malah ditulis sms malah masuknya ke whatsap gimana sih,1,0.0,0.0,Negative,0,kirim otp sat registrasi otp kirim whatsap tulis kirim whatsap tulis sms masuk whatsap gimana
suatu kebangan,5,0.0,0.0,Positive,0,bang
pak anis rasyid baswedan terimakasih,5,0.0,0.0,Positive,0,baswedan terimakasih
sementara kasih dulu,4,0.0,0.0,Positive,0,
god,5,0.0,0.0,Positive,0,god
makin keren mass rapid transit jakarta,5,0.0,0.0,Positive,1,keren mass rapid transit jakarta
terimakasih mass rapid transit jakarta pelayanan terbaik yang luar biasa singkatnya hp saya mati di stistora mandiri dan selalu gagal untuk top up saldo emoneyjadinya mba cindy petugas stistora mandiri menawarkan untuk di charge hpnya selama menit sudah gitu jaringan di hpku hilang eh mbanya nawarin untuk hotspot karna kalo wifi st harus login dulu lama alhamdulilah akhirnya jadi bisa pulang karna pelayananya luar biasa angkat mba cindy jadi organik min orang baik pelayanany maksimal,5,0.5,0.5,Positive,0,terimakasih mass rapid transit jakarta layan baik singkat hp mati stistora mandiri gagal top saldo mba cindy tugas stistora mandiri menit gitu hilang eh karna kalo wifi st login alhamdulilah pulang karna pelayananya mba cindy orang maksimal
mantap,5,0.0,0.0,Positive,1,mantap
keren,5,0.0,0.0,Positive,1,keren
mantap pasti lolos tiket scan masuk bisa,5,0.0,0.0,Positive,1,mantap tiket scan masuk
terbaik ini sih,5,0.0,0.0,Positive,1,baik
manthabz,5,0.0,0.0,Positive,0,
semoga berkah,5,0.0,0.0,Positive,0,moga
keren,5,0.0,0.0,Positive,1,keren
god,5,0.0,0.0,Positive,0,god
kocak,1,0.0,0.0,Negative,0,kocak
membantu sangat apknya,4,0.0,0.0,Positive,0,bantu apknya
god,5,0.0,0.0,Positive,0,god
god,5,0.0,0.0,Positive,0,god
god,5,0.0,0.0,Positive,0,god
mantap,5,0.0,0.0,Positive,1,mantap
ok,5,0.5,0.5,Positive,0,
trimksh,5,0.0,0.0,Positive,0,
mantap,5,0.0,0.0,Positive,1,mantap
sistem teknologinya sgt jelek  tidak flexible acount saya di aplikasi mrtj  gagal dihubungkan dengan metode pembayaran ewalet apapun hanya karena nomor handphone ewalet berbeda dengan nomor acount yang trdaftar du mrtj pun jika mau dihapus akun mrtj tidak bisa  apliasi belum matang tapi sudah dipasarkan atau go public sangat meresahkan,1,0.0,0.06666666666666667,Negative,-1,sistem jelek acount gagal hubung metode bayar ewalet apa nomor handphone ewalet beda nomor acount hapus akun pasar
susah untuk login,1,0.0,0.0,Negative,0,susah login
keren aplikasinys,4,0.0,0.0,Positive,1,keren
bermanfat,5,0.0,0.0,Positive,0,bermanfat
ok,5,0.5,0.5,Positive,0,
transportasi umum modern cepat mudah dan murah,5,0.2,0.3,Positive,1,transportasi modern cepat mudah murah
god,5,0.0,0.0,Positive,0,god
keren,5,0.0,0.0,Positive,1,keren
aplikasi mudah  simple trims pak anies,5,0.0,0.35714285714285715,Positive,1,mudah simple anies
ok,5,0.5,0.5,Positive,0,
,5,0.0,0.0,Positive,0,
lebih baik,5,0.0,0.0,Positive,1,
sangat berguba,5,0.0,0.0,Positive,0,
nice,4,0.6,1.0,Positive,0,nice
belum saya gunakan suatu sat mungkin berguna terimakasih atas info nya,4,0.0,0.0,Positive,0,sat guna terimakasih info
bagus,5,0.0,0.0,Positive,1,bagus
mantab,5,0.0,0.0,Positive,0,mantab
sy ksh bintang  karena belum coba mengunakan mass rapid transit,3,0.0,0.0,Neutral,0,sy ksh bintang coba mengunakan mass rapid transit
god job,5,0.0,0.0,Positive,0,god job
sangat membantu dalam perjalanan yang nyaman dan bersih,5,0.0,0.0,Positive,0,bantu jalan nyaman bersih
aplikasi baik dan yang lebih baik lagi,5,0.0,0.0,Positive,1,
praktis dan ekonomis,5,0.0,0.0,Positive,0,praktis
ok,5,0.5,0.5,Positive,0,
otp tidak masuk,1,0.0,0.0,Negative,0,otp masuk
barakalohu sangat membantu,4,0.0,0.0,Positive,0,bantu
lrt is the best lancar n sukses untuk lrt,5,1.0,0.3,Positive,0,lrt best lancar sukses lrt
bagus,4,0.0,0.0,Positive,1,bagus
top banget,5,0.5,0.5,Positive,0,top
mantab,5,0.0,0.0,Positive,0,mantab
lebih mudah,4,0.0,0.0,Positive,1,mudah
ok,5,0.5,0.5,Positive,0,
naik tingkat,5,0.0,0.0,Positive,0,tingkat
simple dan tidak ribet,5,0.0,0.35714285714285715,Positive,0,simple ribet
mantap,5,0.0,0.0,Positive,1,mantap
oke ini untuk moda transportasinya modern,5,0.2,0.3,Positive,0,moda transportasi modern
mass rapid transit keren,1,0.0,0.0,Negative,1,mass rapid transit keren
kasih dulu lok emang iya ntar aku kasih ful,3,0.0,0.0,Neutral,0,emang ful
mantap,5,0.0,0.0,Positive,1,mantap
baru download belum tau lebih banyak semoga aplikasi ini membantu mksh,4,0.0,0.0,Positive,0,download moga bantu
,5,0.0,0.0,Positive,0,
keren,5,0.0,0.0,Positive,1,keren
aplikasi yang bagus untuk mempermudah costumer,4,0.0,0.0,Positive,1,bagus mudah
ok,5,0.5,0.5,Positive,0,
aplikasi kocak tidak bisa login dengan gogle,1,0.0,0.0,Negative,0,kocak login gogle
kode otp tidak muncul² sudah di ulang² tapi tidak bisa,5,0.0,0.0,Positive,0,kode otp muncul ulang
senang ada transportasi ini sangat mempermudah transportasi simple cepat tepat,5,0.0,0.35714285714285715,Positive,1,senang transportasi mudah transportasi simple cepat
semoga aplikasi ini bisa mempermudah gerak kegiatan warga jakart,5,0.0,0.0,Positive,1,moga mudah warga
ok,5,0.5,0.5,Positive,0,
belum tau,5,0.0,0.0,Positive,0,
mantap,5,0.0,0.0,Positive,1,mantap
god aps,5,0.0,0.0,Positive,0,god aps
muantab,5,0.0,0.0,Positive,0,muantab
god news,5,0.0,0.0,Positive,0,god
puas sekali,5,0.0,0.0,Positive,1,
mantaps,5,0.0,0.0,Positive,1,mantaps
jos,5,0.0,0.0,Positive,0,jos
aplikasi bagus,5,0.0,0.0,Positive,1,bagus
parah aplikasi apan ini mau daftar tidak bisa sudah sampai masukin pin katanya cek nomer hp dan email,1,0.0,0.0,Negative,0,parah apan daftar masukin pin cek nomer hp email
aplikasi yang sangat berguna,4,0.0,0.0,Positive,0,guna
okey,5,0.0,0.0,Positive,0,okey
mantap,5,0.0,0.0,Positive,1,mantap
mudah  membantu,5,0.0,0.0,Positive,1,mudah bantu
ok,5,0.5,0.5,Positive,0,
tadi saya daftar memakai email dan nomor telepon ketika sudah dapat kode otp lalu saya masukan koq tidak bisa terus saya minta kode otp lagi tibatiba aplikasinya ngelag terus dapat kiriman wa otpnya banyak pas mau daftar lagi register failed saya tidak tahu mau daftar kaya gimana lagi akhirnya saya nyerah aja saya pikir aplikasi ini tidak ada maintenance nya,1,-0.5,0.3,Negative,0,daftar pakai email nomor telepon kode otp masuk koq kode otp ngelag kirim wa otpnya pas daftar register failed daftar kaya gimana pikir
great,5,0.8,0.75,Positive,0,great
menyenangkan bersama keluarga bisa sampai tujuan dengan cepat dan biaya murah,5,0.0,0.0,Positive,1,senang keluarga tuju cepat biaya murah
aplikasi tidak jelasudah dimasukin otpnya secara bener tetep tidak bisa wkwkwk milik negara kwalitas jelek dwitnya di korup ya,1,0.0,0.0,Negative,-1,otpnya bener tetep milik negara jelek
agak lola,3,0.0,0.0,Neutral,0,
ok,5,0.5,0.5,Positive,0,
sangat baik,5,0.0,0.0,Positive,1,
banyak bug terutama pas login,2,0.0,0.0,Negative,-1,bug pas login
ok,2,0.5,0.5,Negative,0,
sering ngebug anjing,1,0.0,0.0,Negative,-1,
payah kode otp gamasuk,1,0.0,0.0,Negative,0,payah kode otp
mntap,5,0.0,0.0,Positive,0,mntap
semoga lancar  masih bakal berubah rating kalau ketemu bug,5,0.0,0.0,Positive,-1,moga lancar ubah rating bug
,5,0.0,0.0,Positive,0,
sering saja ngk bsa diakses mau cri kemudahan malah makin sulit,1,0.0,0.0,Negative,0,ngk bsa akses mudah sulit
sat info akan mengirim nomer konfirmasi hanya memberikan data nomer telepon harusnya infokan dengan whats ap,1,0.0,0.0,Negative,0,sat info kirim nomer konfirmasi data nomer telepon info ap
keren nieh pakai aplikasi ini sangat membantu,5,0.0,0.0,Positive,1,keren pakai bantu
,5,0.0,0.0,Positive,0,
sementara dulu,4,0.0,0.0,Positive,0,
mafia bos nyonya,5,0.0,0.0,Positive,0,bos
god,5,0.0,0.0,Positive,0,god
ok,5,0.5,0.5,Positive,0,
bravo mass rapid transit maju terus pantang mundur jakarta,5,0.0,0.0,Positive,0,mass rapid transit maju mundur jakarta
masih coba,4,0.0,0.0,Positive,0,coba
keren,5,0.0,0.0,Positive,1,keren
aplikasi sangat bagus,5,0.0,0.0,Positive,1,bagus
pagi masih bisa login bisa beli tiket setelah sampai stasiun mass rapid transit lebak bulus aplikasi tidak bisa kebuka mau tidak mau beli kartu mt di stasiun rugi ribu buat perjalanan ke kantor kejadian seperti gini tidak sekali kali untung gede ya,1,0.0,0.0,Negative,0,pagi login beli tiket stasiun mass rapid transit lebak bulus buka beli kartu stasiun rugi ribu jalan kantor jadi gin kali untung
lagi penting mau dipake malah arang tidak bisa dipakai otw grab,2,0.0,0.0,Negative,0,dipake pakai
,4,0.0,0.0,Positive,0,
god,5,0.0,0.0,Positive,0,god
mantap,5,0.0,0.0,Positive,1,mantap
agak ribet registrasinya,4,0.0,0.0,Positive,0,ribet registrasi
sangat membantu,5,0.0,0.0,Positive,0,bantu
ok,5,0.5,0.5,Positive,0,
nice,5,0.6,1.0,Positive,0,nice
saya tidak bisa daftar ke aplikasi gimana si nyuruh orang beli tiket dan aksesnya pake aplikasi tapi gabisa registrasi kalo bikin insfastruktur atau fasilitas satu paket dong jangan setengah setengah,1,0.0,0.0,Negative,0,daftar gimana si orang beli tiket akses pake gabisa registrasi kalo bikin fasilitas
keren,5,0.0,0.0,Positive,1,keren
god transportation,5,0.0,0.0,Positive,0,god transportation
keren,5,0.0,0.0,Positive,1,keren
mass rapid transit jakarta,5,0.0,0.0,Positive,0,mass rapid transit jakarta
gabisa log in aneh,1,0.0,0.0,Negative,0,gabisa log aneh
mantap,5,0.0,0.0,Positive,1,mantap
bru pake sejauh ini belum mendapatkan kendala,5,0.0,0.0,Positive,0,bru pake kendala
mantap,5,0.0,0.0,Positive,1,mantap
ini saya regis yang manual tidak dikirim kodenya terus coba login gmail tidak bisa juga tolong segera diperbaiki ya sistem nya terima kasih,1,0.0,0.0,Negative,1,kirim kode coba login gmail baik sistem
sangat menyenangkan,5,0.0,0.0,Positive,0,senang
kode otp tidak pernah dikirim login via gogle tidak mau parah,1,0.0,0.0,Negative,0,kode otp kirim login via gogle parah
lemot tiketnya terlalu mahal mass rapid transit turunin harga tiketnya on,1,0.0,0.0,Negative,-1,lot tiket mahal mass rapid transit harga tiket
waktu register kirim otp ke wa tapi tulisanya dikirim ke sms,1,0.0,0.0,Negative,0,register kirim otp wa tulisanya kirim sms
sudah daftar mudah dan cepat tetapi belum dicoba aplikasinya,5,0.0,0.0,Positive,1,daftar mudah cepat coba
luar biasa dahsyat,5,0.0,0.0,Positive,0,
god,5,0.0,0.0,Positive,0,god
ok,5,0.5,0.5,Positive,0,
susah amat daftar nya,1,0.0,0.0,Negative,0,susah daftar
mau daftar saja susdah banget g muncul kode dari sms,3,0.0,0.0,Neutral,0,daftar muncul kode sms
god job,5,0.0,0.0,Positive,0,god job
ok faster,5,0.5,0.5,Positive,0,
mudah digunakan,5,0.0,0.0,Positive,1,mudah
mantap,5,0.0,0.0,Positive,1,mantap
ok,5,0.5,0.5,Positive,0,
cuma minta update melulu tapi lemot parah heran,1,0.0,0.0,Negative,-1,update lot parah heran
tidak bisa relogin gantireset pasword malah dibilang salah padahal abis reset,1,0.0,0.0,Negative,0,pasword bilang salah abis reset
mantap,5,0.0,0.0,Positive,1,mantap
tolong donk bagian it nya atau developer nya untuk memperbaiki masalah teknis seperti kode referalnya tidak muncul muncul maf diksh bintang mau mempermudah naik mass rapid transit malah jadi sulit,2,0.0,0.0,Negative,1,donk developer baik kode muncul muncul maf bintang mudah mass rapid transit sulit
top,5,0.5,0.5,Positive,0,top
mantap,5,0.0,0.0,Positive,1,mantap
god,5,0.0,0.0,Positive,0,god
menunjang transportasi yang handal solusi mencegah bertambahnya kemacetan,5,0.0,0.0,Positive,0,transportasi solusi tambah macet
aplikasi apan kode otpnya tidak muncul,1,0.0,0.0,Negative,0,apan kode otpnya muncul
wih keren ngebantu,5,0.0,0.0,Positive,1,keren ngebantu
god aps,5,0.0,0.0,Positive,0,god aps
god right now so because suceses ful,5,0.2857142857142857,0.5357142857142857,Positive,0,god ful
pengalaman bersama teman menciba naik mass rapid transit,5,0.0,0.0,Positive,0,alam mass rapid transit
pelayanan bagus,5,0.0,0.0,Positive,1,layan bagus
oke,5,0.0,0.0,Positive,0,
keren,4,0.0,0.0,Positive,1,keren
semoga berguna,5,0.0,0.0,Positive,0,moga guna
bagus,5,0.0,0.0,Positive,1,bagus
ok,5,0.5,0.5,Positive,0,
,5,0.0,0.0,Positive,0,
aplikasi tidak ada guna pake kode verif lwt sms tapi tidak muncul,1,0.0,0.0,Negative,0,pake kode lwt sms muncul
god,2,0.0,0.0,Negative,0,god
mantap,5,0.0,0.0,Positive,1,mantap
mantap,5,0.0,0.0,Positive,1,mantap
godlah,5,0.0,0.0,Positive,0,
tidak niat banget bikin aplikasi nau dftr saja kaga bisa,1,0.0,0.0,Negative,0,niat bikin kaga
pelayanan penjualan ticket tidak buka,5,0.0,0.0,Positive,0,layan jual ticket buka
ok,5,0.5,0.5,Positive,0,
mantap,5,0.0,0.0,Positive,1,mantap
jos,5,0.0,0.0,Positive,0,jos
god,5,0.0,0.0,Positive,0,god
ok,5,0.5,0.5,Positive,0,
god,5,0.0,0.0,Positive,0,god
mantab,5,0.0,0.0,Positive,0,mantab
baik,5,0.0,0.0,Positive,1,
cepat nyaman aman,5,0.0,0.0,Positive,1,cepat nyaman aman
god job,5,0.0,0.0,Positive,0,god job
mantap,5,0.0,0.0,Positive,1,mantap
login via akun gogle tidak bisa daftar akun pa konfirmasi tidak ada sms masuk niat tidak ya bikin aplikasi,1,0.0,0.0,Negative,0,login via akun gogle daftar akun konfirmasi sms masuk niat bikin
keren,5,0.0,0.0,Positive,1,keren
transportasi jakarta yang sangat membantu dengan adanya mass rapid transit jakarta lebih mudah untuk penguna transportasi umum,5,0.0,0.0,Positive,1,transportasi jakarta bantu mass rapid transit jakarta mudah penguna transportasi
ok,5,0.5,0.5,Positive,0,
sangat mudah dijangkau dan tepat waktu,5,0.0,0.0,Positive,1,mudah
blom coba smoga saja aplikasinya bisa mempermudah perjalanan,5,0.0,0.0,Positive,1,blom coba smoga mudah jalan
masih baru,5,0.0,0.0,Positive,0,
aplikasi saya gunakan bagus dan sangat membantu terimakasih,5,0.0,0.0,Positive,1,bagus bantu terimakasih
ribet,1,0.0,0.0,Negative,0,ribet
mantap,5,0.0,0.0,Positive,1,mantap
ntaps,5,0.0,0.0,Positive,0,
bagus,1,0.0,0.0,Negative,1,bagus
keren mass rapid transit jakarta,5,0.0,0.0,Positive,1,keren mass rapid transit jakarta
god,5,0.0,0.0,Positive,0,god
bikin akun gabisa otp nya capek,1,0.0,0.0,Negative,0,bikin akun gabisa otp capek
tidak dapat validasi via sms atau email buat bikin akun parah pagi siang malam dicoba tetep saja gagal,1,0.0,0.0,Negative,-1,via sms email bikin akun parah pagi malam coba tetep gagal
ngak jelas aplikasinya sudah instal terus pas mau buat akun kode yang katanya di kirim ke no hp ngak masuk sudah sampai instal dan uninstal aplikasi ini x tapi tetap ngak bisa buat akun,1,0.0,0.0,Negative,0,ngak instal pas akun kode kirim hp ngak masuk instal uninstal ngak akun
ok,5,0.5,0.5,Positive,0,
cara jitu menghindari kemacetan,5,0.0,0.0,Positive,0,macet
mantap,5,0.0,0.0,Positive,1,mantap
